time,parameterized_I1,integrated_I1,error_h0p02,error_h0p01
17.6,1.0190086323691172,1.0190086323689351,3.89910326248355e-11,2.4655832930875476e-12
17.7,1.018640088679013,1.01864008867883,3.9044323330017505e-11,2.469136006766348e-12
17.8,1.0183485424040646,1.0183485424038818,3.915801016773912e-11,2.476241434123949e-12
17.900000000000002,1.018150931261628,1.0181509312614467,3.9335645851679146e-11,2.497557716196752e-12
18.0,1.0180623168374556,1.0180623168372769,3.957367766815878e-11,2.5153212845907547e-12
18.1,1.0180956741342113,1.0180956741340361,3.986500018982042e-11,2.533084852984757e-12
18.2,1.018261704353088,1.0182617043529172,4.020961341666407e-11,2.5508484213787597e-12
18.3,1.0185686728771057,1.0185686728769408,4.0600411921332125e-11,2.575717417130363e-12
18.400000000000002,1.0190222742205193,1.0190222742203616,4.1026737562788185e-11,2.604139126560767e-12
18.5,1.01962552550931,1.0196255255091604,4.149214305471105e-11,2.6361135496699717e-12
18.6,1.0203786898639913,1.0203786898638512,4.198952296974312e-11,2.668087972779176e-12
18.7,1.0212792308661425,1.0212792308660128,4.250466645316919e-11,2.6965096822095802e-12
18.8,1.0223217990997322,1.022321799099615,4.303757350498927e-11,2.7320368189975852e-12
18.900000000000002,1.0234982515605824,1.0234982515604782,4.3577585984166944e-11,2.7711166694643907e-12
19.0,1.0247977045138177,1.0247977045137284,4.412115117702342e-11,2.8030910925735952e-12
19.1,1.0262066201405138,1.0262066201404403,4.4650505515164696e-11,2.8315128020039992e-12
19.200000000000003,1.0277089270418927,1.0277089270418358,4.516209628491197e-11,2.8705926524708048e-12
19.3,1.0292861743543986,1.0292861743543598,4.5648818058907636e-11,2.8990143619012088e-12
19.400000000000002,1.030917718866152,1.0309177188661323,4.61106708371517e-11,2.9274360713316128e-12
19.5,1.0325809441121268,1.0325809441121268,4.652989105125016e-11,2.9523050670832163e-12
19.6,1.0342515099633536,1.034251509963374,4.6906478701203014e-11,2.9771740628348198e-12
19.700000000000003,1.0359036307203577,1.0359036307203988,4.723332835965266e-11,2.9949376312288223e-12
19.8,1.0375103791833111,1.037510379183373,4.75033345992415e-11,3.0055957722652238e-12
19.900000000000002,1.0390440136158272,1.0390440136159103,4.771294470629073e-11,3.0198066269804258e-12
20.0,1.040476323964627,1.0404763239647306,4.785860596712155e-11,3.0340174816956278e-12
